case,dataset,suite,system_name,fault,fault_description,root_cause_service,inject_time,time_start,time_end,duration_minutes,normal_timesteps,faulty_timesteps
re2tt_ts-route-service_cpu_1,RE2-TT,RE2,Train Ticket,cpu,CPU stress,ts-route-service,1705938117,1705937397,1705938837,24.0,720,721
re2tt_ts-route-service_delay_1,RE2-TT,RE2,Train Ticket,delay,network delay,ts-route-service,1705939611,1705938891,1705940331,24.0,720,721
re2tt_ts-route-service_loss_1,RE2-TT,RE2,Train Ticket,loss,network packet loss,ts-route-service,1705993539,1705992819,1705994259,24.0,720,721
re2tt_ts-route-service_socket_1,RE2-TT,RE2,Train Ticket,socket,socket exhaustion,ts-route-service,1705992046,1705991326,1705992766,24.0,720,721
re2tt_ts-train-service_cpu_1,RE2-TT,RE2,Train Ticket,cpu,CPU stress,ts-train-service,1705942599,1705941879,1705943319,24.0,720,721
re2tt_ts-train-service_delay_1,RE2-TT,RE2,Train Ticket,delay,network delay,ts-train-service,1705944092,1705943372,1705944812,24.0,720,721
re2tt_ts-train-service_loss_1,RE2-TT,RE2,Train Ticket,loss,network packet loss,ts-train-service,1708448623,1708447903,1708449343,24.0,720,721
re2tt_ts-train-service_socket_1,RE2-TT,RE2,Train Ticket,socket,socket exhaustion,ts-train-service,1705997317,1705996597,1705998037,24.0,720,721
re2tt_ts-travel-service_cpu_1,RE2-TT,RE2,Train Ticket,cpu,CPU stress,ts-travel-service,1708453056,1708452336,1708453776,24.0,720,721
re2tt_ts-travel-service_delay_1,RE2-TT,RE2,Train Ticket,delay,network delay,ts-travel-service,1706013574,1706012854,1706014294,24.0,720,721
re2tt_ts-travel-service_loss_1,RE2-TT,RE2,Train Ticket,loss,network packet loss,ts-travel-service,1708454598,1708453878,1708455318,24.0,720,721
re2tt_ts-travel-service_socket_1,RE2-TT,RE2,Train Ticket,socket,socket exhaustion,ts-travel-service,1706146324,1706145604,1706147044,24.0,720,721
