case,dataset,suite,system,system_name,root_cause_service,fault,fault_description,repetition,inject_time,n_metrics,n_timesteps,time_start,time_end,duration_minutes,normal_timesteps,faulty_timesteps,has_logs,n_logs,has_traces,n_traces,has_root_cause_file
re1ob_adservice_disk_2,RE1-OB,RE1,ob,Online Boutique,adservice,disk,disk I/O stress,2,1702359042,57,721,1702358682,1702359402,12.0,360,361,False,0,False,0,False
re1ob_adservice_disk_3,RE1-OB,RE1,ob,Online Boutique,adservice,disk,disk I/O stress,3,1702359817,57,721,1702359457,1702360177,12.0,360,361,False,0,False,0,False
re1ob_adservice_disk_4,RE1-OB,RE1,ob,Online Boutique,adservice,disk,disk I/O stress,4,1702360589,57,721,1702360229,1702360949,12.0,360,361,False,0,False,0,False
re1ob_adservice_disk_5,RE1-OB,RE1,ob,Online Boutique,adservice,disk,disk I/O stress,5,1702361360,57,721,1702361000,1702361720,12.0,360,361,False,0,False,0,False
re1ob_adservice_loss_1,RE1-OB,RE1,ob,Online Boutique,adservice,loss,network packet loss,1,1693322053,59,721,1693321693,1693322413,12.0,360,361,False,0,False,0,False
re1ob_adservice_loss_2,RE1-OB,RE1,ob,Online Boutique,adservice,loss,network packet loss,2,1693316537,59,721,1693316177,1693316897,12.0,360,361,False,0,False,0,False
re1ob_adservice_loss_3,RE1-OB,RE1,ob,Online Boutique,adservice,loss,network packet loss,3,1693317308,59,721,1693316948,1693317668,12.0,360,361,False,0,False,0,False
re1ob_adservice_loss_4,RE1-OB,RE1,ob,Online Boutique,adservice,loss,network packet loss,4,1692660354,59,721,1692659994,1692660714,12.0,360,361,False,0,False,0,False
re1ob_adservice_loss_5,RE1-OB,RE1,ob,Online Boutique,adservice,loss,network packet loss,5,1693318081,59,721,1693317721,1693318441,12.0,360,361,False,0,False,0,False
re1ob_adservice_mem_1,RE1-OB,RE1,ob,Online Boutique,adservice,mem,memory stress,1,1685224742,49,4201,1685222642,1685226842,70.0,2100,2101,False,0,False,0,False
re1ob_adservice_mem_2,RE1-OB,RE1,ob,Online Boutique,adservice,mem,memory stress,2,1685234046,49,4201,1685231946,1685236146,70.0,2100,2101,False,0,False,0,False
re1ob_adservice_mem_3,RE1-OB,RE1,ob,Online Boutique,adservice,mem,memory stress,3,1685238391,49,4201,1685236291,1685240491,70.0,2100,2101,False,0,False,0,False
re1ob_adservice_mem_4,RE1-OB,RE1,ob,Online Boutique,adservice,mem,memory stress,4,1685242738,49,4201,1685240638,1685244838,70.0,2100,2101,False,0,False,0,False
re1ob_adservice_mem_5,RE1-OB,RE1,ob,Online Boutique,adservice,mem,memory stress,5,1685247084,49,4201,1685244984,1685249184,70.0,2100,2101,False,0,False,0,False
re1ob_cartservice_cpu_1,RE1-OB,RE1,ob,Online Boutique,cartservice,cpu,CPU stress,1,1685251430,49,4201,1685249330,1685253530,70.0,2100,2101,False,0,False,0,False
re1ob_cartservice_cpu_2,RE1-OB,RE1,ob,Online Boutique,cartservice,cpu,CPU stress,2,1685255770,49,4201,1685253670,1685257870,70.0,2100,2101,False,0,False,0,False
re1ob_cartservice_cpu_3,RE1-OB,RE1,ob,Online Boutique,cartservice,cpu,CPU stress,3,1685260110,49,4201,1685258010,1685262210,70.0,2100,2101,False,0,False,0,False
re1ob_cartservice_cpu_4,RE1-OB,RE1,ob,Online Boutique,cartservice,cpu,CPU stress,4,1685264450,49,4201,1685262350,1685266550,70.0,2100,2101,False,0,False,0,False
re1ob_cartservice_cpu_5,RE1-OB,RE1,ob,Online Boutique,cartservice,cpu,CPU stress,5,1685268791,49,4201,1685266691,1685270891,70.0,2100,2101,False,0,False,0,False
re1ob_cartservice_delay_1,RE1-OB,RE1,ob,Online Boutique,cartservice,delay,network delay,1,1692628112,58,721,1692627752,1692628472,12.0,360,361,False,0,False,0,False
re1ob_cartservice_delay_2,RE1-OB,RE1,ob,Online Boutique,cartservice,delay,network delay,2,1692628881,58,721,1692628521,1692629241,12.0,360,361,False,0,False,0,False
re1ob_cartservice_delay_3,RE1-OB,RE1,ob,Online Boutique,cartservice,delay,network delay,3,1692608348,58,721,1692607988,1692608708,12.0,360,361,False,0,False,0,False
re1ob_cartservice_delay_4,RE1-OB,RE1,ob,Online Boutique,cartservice,delay,network delay,4,1692621704,58,721,1692621344,1692622064,12.0,360,361,False,0,False,0,False
re1ob_cartservice_delay_5,RE1-OB,RE1,ob,Online Boutique,cartservice,delay,network delay,5,1692629647,58,721,1692629287,1692630007,12.0,360,361,False,0,False,0,False
re1ob_cartservice_disk_1,RE1-OB,RE1,ob,Online Boutique,cartservice,disk,disk I/O stress,1,1702355592,56,721,1702355232,1702355952,12.0,360,361,False,0,False,0,False
re1ob_cartservice_disk_2,RE1-OB,RE1,ob,Online Boutique,cartservice,disk,disk I/O stress,2,1702362131,57,721,1702361771,1702362491,12.0,360,361,False,0,False,0,False
re1ob_cartservice_disk_3,RE1-OB,RE1,ob,Online Boutique,cartservice,disk,disk I/O stress,3,1702362925,58,721,1702362565,1702363285,12.0,360,361,False,0,False,0,False
re1ob_cartservice_disk_4,RE1-OB,RE1,ob,Online Boutique,cartservice,disk,disk I/O stress,4,1702363698,57,721,1702363338,1702364058,12.0,360,361,False,0,False,0,False
re1ob_cartservice_disk_5,RE1-OB,RE1,ob,Online Boutique,cartservice,disk,disk I/O stress,5,1702364469,58,721,1702364109,1702364829,12.0,360,361,False,0,False,0,False
re1ob_cartservice_loss_1,RE1-OB,RE1,ob,Online Boutique,cartservice,loss,network packet loss,1,1693313452,59,721,1693313092,1693313812,12.0,360,361,False,0,False,0,False
re1ob_cartservice_loss_2,RE1-OB,RE1,ob,Online Boutique,cartservice,loss,network packet loss,2,1692641016,59,721,1692640656,1692641376,12.0,360,361,False,0,False,0,False
re1ob_cartservice_loss_3,RE1-OB,RE1,ob,Online Boutique,cartservice,loss,network packet loss,3,1692641787,59,721,1692641427,1692642147,12.0,360,361,False,0,False,0,False
re1ob_cartservice_loss_4,RE1-OB,RE1,ob,Online Boutique,cartservice,loss,network packet loss,4,1692642559,59,721,1692642199,1692642919,12.0,360,361,False,0,False,0,False
re1ob_cartservice_loss_5,RE1-OB,RE1,ob,Online Boutique,cartservice,loss,network packet loss,5,1692643330,59,721,1692642970,1692643690,12.0,360,361,False,0,False,0,False
re1ob_cartservice_mem_1,RE1-OB,RE1,ob,Online Boutique,cartservice,mem,memory stress,1,1685273133,49,4201,1685271033,1685275233,70.0,2100,2101,False,0,False,0,False
re1ob_cartservice_mem_2,RE1-OB,RE1,ob,Online Boutique,cartservice,mem,memory stress,2,1685277478,49,4201,1685275378,1685279578,70.0,2100,2101,False,0,False,0,False
re1ob_cartservice_mem_3,RE1-OB,RE1,ob,Online Boutique,cartservice,mem,memory stress,3,1685281821,49,4201,1685279721,1685283921,70.0,2100,2101,False,0,False,0,False
re1ob_cartservice_mem_4,RE1-OB,RE1,ob,Online Boutique,cartservice,mem,memory stress,4,1685286163,49,4201,1685284063,1685288263,70.0,2100,2101,False,0,False,0,False
re1ob_cartservice_mem_5,RE1-OB,RE1,ob,Online Boutique,cartservice,mem,memory stress,5,1685290508,49,4201,1685288408,1685292608,70.0,2100,2101,False,0,False,0,False
re1ob_checkoutservice_cpu_1,RE1-OB,RE1,ob,Online Boutique,checkoutservice,cpu,CPU stress,1,1685294851,49,4201,1685292751,1685296951,70.0,2100,2101,False,0,False,0,False
re1ob_checkoutservice_cpu_2,RE1-OB,RE1,ob,Online Boutique,checkoutservice,cpu,CPU stress,2,1685551922,49,4201,1685549822,1685554022,70.0,2100,2101,False,0,False,0,False
re1ob_checkoutservice_cpu_3,RE1-OB,RE1,ob,Online Boutique,checkoutservice,cpu,CPU stress,3,1685303532,49,4201,1685301432,1685305632,70.0,2100,2101,False,0,False,0,False
re1ob_checkoutservice_cpu_4,RE1-OB,RE1,ob,Online Boutique,checkoutservice,cpu,CPU stress,4,1685556376,49,2679,1685554276,1685556954,44.6,2100,579,False,0,False,0,False
re1ob_checkoutservice_cpu_5,RE1-OB,RE1,ob,Online Boutique,checkoutservice,cpu,CPU stress,5,1685569563,49,4201,1685567463,1685571663,70.0,2100,2101,False,0,False,0,False
re1ob_checkoutservice_delay_1,RE1-OB,RE1,ob,Online Boutique,checkoutservice,delay,network delay,1,1692602972,57,721,1692602612,1692603332,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_delay_2,RE1-OB,RE1,ob,Online Boutique,checkoutservice,delay,network delay,2,1692603740,57,721,1692603380,1692604100,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_delay_3,RE1-OB,RE1,ob,Online Boutique,checkoutservice,delay,network delay,3,1692604507,57,721,1692604147,1692604867,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_delay_4,RE1-OB,RE1,ob,Online Boutique,checkoutservice,delay,network delay,4,1692605275,58,721,1692604915,1692605635,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_delay_5,RE1-OB,RE1,ob,Online Boutique,checkoutservice,delay,network delay,5,1692606042,58,721,1692605682,1692606402,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_disk_1,RE1-OB,RE1,ob,Online Boutique,checkoutservice,disk,disk I/O stress,1,1702356364,56,721,1702356004,1702356724,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_disk_2,RE1-OB,RE1,ob,Online Boutique,checkoutservice,disk,disk I/O stress,2,1702365246,58,721,1702364886,1702365606,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_disk_3,RE1-OB,RE1,ob,Online Boutique,checkoutservice,disk,disk I/O stress,3,1702366022,58,721,1702365662,1702366382,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_disk_4,RE1-OB,RE1,ob,Online Boutique,checkoutservice,disk,disk I/O stress,4,1702366794,58,721,1702366434,1702367154,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_disk_5,RE1-OB,RE1,ob,Online Boutique,checkoutservice,disk,disk I/O stress,5,1702367565,58,721,1702367205,1702367925,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_loss_1,RE1-OB,RE1,ob,Online Boutique,checkoutservice,loss,network packet loss,1,1692634363,59,721,1692634003,1692634723,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_loss_2,RE1-OB,RE1,ob,Online Boutique,checkoutservice,loss,network packet loss,2,1692635135,59,721,1692634775,1692635495,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_loss_3,RE1-OB,RE1,ob,Online Boutique,checkoutservice,loss,network packet loss,3,1692635905,59,721,1692635545,1692636265,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_loss_4,RE1-OB,RE1,ob,Online Boutique,checkoutservice,loss,network packet loss,4,1692636675,59,721,1692636315,1692637035,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_loss_5,RE1-OB,RE1,ob,Online Boutique,checkoutservice,loss,network packet loss,5,1692637444,59,721,1692637084,1692637804,12.0,360,361,False,0,False,0,False
re1ob_checkoutservice_mem_1,RE1-OB,RE1,ob,Online Boutique,checkoutservice,mem,memory stress,1,1685501112,49,4201,1685499012,1685503212,70.0,2100,2101,False,0,False,0,False
re1ob_checkoutservice_mem_2,RE1-OB,RE1,ob,Online Boutique,checkoutservice,mem,memory stress,2,1685505453,49,4201,1685503353,1685507553,70.0,2100,2101,False,0,False,0,False
re1ob_checkoutservice_mem_3,RE1-OB,RE1,ob,Online Boutique,checkoutservice,mem,memory stress,3,1685321879,49,4201,1685319779,1685323979,70.0,2100,2101,False,0,False,0,False
re1ob_checkoutservice_mem_4,RE1-OB,RE1,ob,Online Boutique,checkoutservice,mem,memory stress,4,1685326220,49,4201,1685324120,1685328320,70.0,2100,2101,False,0,False,0,False
re1ob_checkoutservice_mem_5,RE1-OB,RE1,ob,Online Boutique,checkoutservice,mem,memory stress,5,1685509793,49,4201,1685507693,1685511893,70.0,2100,2101,False,0,False,0,False
re1ob_currencyservice_cpu_1,RE1-OB,RE1,ob,Online Boutique,currencyservice,cpu,CPU stress,1,1685514134,49,4201,1685512034,1685516234,70.0,2100,2101,False,0,False,0,False
re1ob_currencyservice_cpu_2,RE1-OB,RE1,ob,Online Boutique,currencyservice,cpu,CPU stress,2,1685518566,49,4201,1685516466,1685520666,70.0,2100,2101,False,0,False,0,False
re1ob_currencyservice_cpu_3,RE1-OB,RE1,ob,Online Boutique,currencyservice,cpu,CPU stress,3,1685523009,49,4201,1685520909,1685525109,70.0,2100,2101,False,0,False,0,False
re1ob_currencyservice_cpu_4,RE1-OB,RE1,ob,Online Boutique,currencyservice,cpu,CPU stress,4,1685527349,49,4201,1685525249,1685529449,70.0,2100,2101,False,0,False,0,False
re1ob_currencyservice_cpu_5,RE1-OB,RE1,ob,Online Boutique,currencyservice,cpu,CPU stress,5,1685531776,49,4201,1685529676,1685533876,70.0,2100,2101,False,0,False,0,False
re1ob_currencyservice_delay_1,RE1-OB,RE1,ob,Online Boutique,currencyservice,delay,network delay,1,1692576250,57,721,1692575890,1692576610,12.0,360,361,False,0,False,0,False
re1ob_currencyservice_delay_2,RE1-OB,RE1,ob,Online Boutique,currencyservice,delay,network delay,2,1692577020,57,721,1692576660,1692577380,12.0,360,361,False,0,False,0,False
re1ob_currencyservice_delay_3,RE1-OB,RE1,ob,Online Boutique,currencyservice,delay,network delay,3,1692610652,58,721,1692610292,1692611012,12.0,360,361,False,0,False,0,False
re1ob_currencyservice_delay_4,RE1-OB,RE1,ob,Online Boutique,currencyservice,delay,network delay,4,1692611420,58,721,1692611060,1692611780,12.0,360,361,False,0,False,0,False
re1ob_currencyservice_delay_5,RE1-OB,RE1,ob,Online Boutique,currencyservice,delay,network delay,5,1692579323,57,721,1692578963,1692579683,12.0,360,361,False,0,False,0,False
re1ob_currencyservice_disk_1,RE1-OB,RE1,ob,Online Boutique,currencyservice,disk,disk I/O stress,1,1702357134,56,721,1702356774,1702357494,12.0,360,361,False,0,False,0,False
re1ob_currencyservice_disk_2,RE1-OB,RE1,ob,Online Boutique,currencyservice,disk,disk I/O stress,2,1702368341,58,721,1702367981,1702368701,12.0,360,361,False,0,False,0,False
re1ob_currencyservice_disk_3,RE1-OB,RE1,ob,Online Boutique,currencyservice,disk,disk I/O stress,3,1702379974,58,721,1702379614,1702380334,12.0,360,361,False,0,False,0,False
re1ob_currencyservice_disk_4,RE1-OB,RE1,ob,Online Boutique,currencyservice,disk,disk I/O stress,4,1702373152,56,721,1702372792,1702373512,12.0,360,361,False,0,False,0,False
re1ob_currencyservice_disk_5,RE1-OB,RE1,ob,Online Boutique,currencyservice,disk,disk I/O stress,5,1702373924,56,721,1702373564,1702374284,12.0,360,361,False,0,False,0,False
re1ob_currencyservice_loss_1,RE1-OB,RE1,ob,Online Boutique,currencyservice,loss,network packet loss,1,16933142,59,721,1693313863,1693314583,12.0,0,721,False,0,False,0,False
re1ob_currencyservice_loss_2,RE1-OB,RE1,ob,Online Boutique,currencyservice,loss,network packet loss,2,1692646911,59,721,1692646551,1692647271,12.0,360,361,False,0,False,0,False
re1ob_currencyservice_loss_3,RE1-OB,RE1,ob,Online Boutique,currencyservice,loss,network packet loss,3,1692647685,59,721,1692647325,1692648045,12.0,360,361,False,0,False,0,False
re1ob_currencyservice_loss_4,RE1-OB,RE1,ob,Online Boutique,currencyservice,loss,network packet loss,4,1692648459,59,721,1692648099,1692648819,12.0,360,361,False,0,False,0,False
re1ob_currencyservice_loss_5,RE1-OB,RE1,ob,Online Boutique,currencyservice,loss,network packet loss,5,1692649234,59,721,1692648874,1692649594,12.0,360,361,False,0,False,0,False
re1ob_currencyservice_mem_1,RE1-OB,RE1,ob,Online Boutique,currencyservice,mem,memory stress,1,1685347082,49,4201,1685344982,1685349182,70.0,2100,2101,False,0,False,0,False
re1ob_currencyservice_mem_2,RE1-OB,RE1,ob,Online Boutique,currencyservice,mem,memory stress,2,1685351423,49,4201,1685349323,1685353523,70.0,2100,2101,False,0,False,0,False
re1ob_currencyservice_mem_3,RE1-OB,RE1,ob,Online Boutique,currencyservice,mem,memory stress,3,1685355763,49,4201,1685353663,1685357863,70.0,2100,2101,False,0,False,0,False
re1ob_currencyservice_mem_4,RE1-OB,RE1,ob,Online Boutique,currencyservice,mem,memory stress,4,1685536221,49,4201,1685534121,1685538321,70.0,2100,2101,False,0,False,0,False
re1ob_currencyservice_mem_5,RE1-OB,RE1,ob,Online Boutique,currencyservice,mem,memory stress,5,1685540612,49,4201,1685538512,1685542712,70.0,2100,2101,False,0,False,0,False
re1ob_productcatalogservice_cpu_1,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,cpu,CPU stress,1,1685364577,49,4201,1685362477,1685366677,70.0,2100,2101,False,0,False,0,False
re1ob_productcatalogservice_cpu_2,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,cpu,CPU stress,2,1685368916,49,4201,1685366816,1685371016,70.0,2100,2101,False,0,False,0,False
re1ob_productcatalogservice_cpu_3,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,cpu,CPU stress,3,1685373255,58,63,1685371737,1685371799,1.0,63,0,False,0,False,0,False
re1ob_productcatalogservice_cpu_4,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,cpu,CPU stress,4,1685544980,49,4201,1685542880,1685547080,70.0,2100,2101,False,0,False,0,False
re1ob_productcatalogservice_cpu_5,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,cpu,CPU stress,5,1685563532,49,4201,1685561432,1685565632,70.0,2100,2101,False,0,False,0,False
re1ob_productcatalogservice_delay_1,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,delay,network delay,1,1692589306,57,721,1692588946,1692589666,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_delay_2,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,delay,network delay,2,1692624019,58,721,1692623659,1692624379,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_delay_3,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,delay,network delay,3,1692614494,58,721,1692614134,1692614854,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_delay_4,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,delay,network delay,4,1692706428,56,721,1692706068,1692706788,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_delay_5,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,delay,network delay,5,1692616042,58,721,1692615682,1692616402,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_disk_1,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,disk,disk I/O stress,1,1702357908,57,721,1702357548,1702358268,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_disk_2,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,disk,disk I/O stress,2,1702374697,57,721,1702374337,1702375057,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_disk_3,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,disk,disk I/O stress,3,1702375470,57,721,1702375110,1702375830,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_disk_4,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,disk,disk I/O stress,4,1702376238,58,721,1702375878,1702376598,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_disk_5,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,disk,disk I/O stress,5,1702377005,58,721,1702376645,1702377365,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_loss_1,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,loss,network packet loss,1,1692665535,59,721,1692665175,1692665895,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_loss_2,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,loss,network packet loss,2,1692666311,59,721,1692665951,1692666671,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_loss_3,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,loss,network packet loss,3,1692667087,59,721,1692666727,1692667447,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_loss_4,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,loss,network packet loss,4,1692667865,59,721,1692667505,1692668225,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_loss_5,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,loss,network packet loss,5,1692668642,59,721,1692668282,1692669002,12.0,360,361,False,0,False,0,False
re1ob_productcatalogservice_mem_1,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,mem,memory stress,1,1685383134,49,4201,1685381034,1685385234,70.0,2100,2101,False,0,False,0,False
re1ob_productcatalogservice_mem_2,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,mem,memory stress,2,1685387474,49,4201,1685385374,1685389574,70.0,2100,2101,False,0,False,0,False
re1ob_productcatalogservice_mem_3,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,mem,memory stress,3,1685391813,49,4201,1685389713,1685393913,70.0,2100,2101,False,0,False,0,False
re1ob_productcatalogservice_mem_4,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,mem,memory stress,4,1685396154,49,4201,1685394054,1685398254,70.0,2100,2101,False,0,False,0,False
re1ob_productcatalogservice_mem_5,RE1-OB,RE1,ob,Online Boutique,productcatalogservice,mem,memory stress,5,1685400495,49,4201,1685398395,1685402595,70.0,2100,2101,False,0,False,0,False
re1ss_carts_cpu_1,RE1-SS,RE1,ss,Sock Shop,carts,cpu,CPU stress,1,1693068669,59,721,1693068309,1693069029,12.0,360,361,False,0,False,0,False
re1ss_carts_cpu_2,RE1-SS,RE1,ss,Sock Shop,carts,cpu,CPU stress,2,1693091092,59,721,1693090732,1693091452,12.0,360,361,False,0,False,0,False
re1ss_carts_cpu_3,RE1-SS,RE1,ss,Sock Shop,carts,cpu,CPU stress,3,1693091861,59,721,1693091501,1693092221,12.0,360,361,False,0,False,0,False
re1ss_carts_cpu_4,RE1-SS,RE1,ss,Sock Shop,carts,cpu,CPU stress,4,1693092993,59,721,1693092633,1693093353,12.0,360,361,False,0,False,0,False
re1ss_carts_cpu_5,RE1-SS,RE1,ss,Sock Shop,carts,cpu,CPU stress,5,1693093761,59,721,1693093401,1693094121,12.0,360,361,False,0,False,0,False
re1ss_carts_delay_1,RE1-SS,RE1,ss,Sock Shop,carts,delay,network delay,1,1693069446,59,721,1693069086,1693069806,12.0,360,361,False,0,False,0,False
re1ss_carts_delay_2,RE1-SS,RE1,ss,Sock Shop,carts,delay,network delay,2,1693094885,59,721,1693094525,1693095245,12.0,360,361,False,0,False,0,False
re1ss_carts_delay_3,RE1-SS,RE1,ss,Sock Shop,carts,delay,network delay,3,1693095658,59,721,1693095298,1693096018,12.0,360,361,False,0,False,0,False
re1ss_carts_delay_4,RE1-SS,RE1,ss,Sock Shop,carts,delay,network delay,4,1693096785,58,721,1693096425,1693097145,12.0,360,361,False,0,False,0,False
re1ss_carts_delay_5,RE1-SS,RE1,ss,Sock Shop,carts,delay,network delay,5,1693097556,58,721,1693097196,1693097916,12.0,360,361,False,0,False,0,False
re1ss_carts_disk_1,RE1-SS,RE1,ss,Sock Shop,carts,disk,disk I/O stress,1,1702361092,57,721,1702360732,1702361452,12.0,360,361,False,0,False,0,False
re1ss_carts_disk_2,RE1-SS,RE1,ss,Sock Shop,carts,disk,disk I/O stress,2,1702364911,57,721,1702364551,1702365271,12.0,360,361,False,0,False,0,False
re1ss_carts_disk_3,RE1-SS,RE1,ss,Sock Shop,carts,disk,disk I/O stress,3,1702365688,57,721,1702365328,1702366048,12.0,360,361,False,0,False,0,False
re1ss_carts_disk_4,RE1-SS,RE1,ss,Sock Shop,carts,disk,disk I/O stress,4,1702366463,57,721,1702366103,1702366823,12.0,360,361,False,0,False,0,False
re1ss_carts_disk_5,RE1-SS,RE1,ss,Sock Shop,carts,disk,disk I/O stress,5,1702367238,57,721,1702366878,1702367598,12.0,360,361,False,0,False,0,False
re1ss_carts_loss_1,RE1-SS,RE1,ss,Sock Shop,carts,loss,network packet loss,1,1693071361,59,721,1693071001,1693071721,12.0,360,361,False,0,False,0,False
re1ss_carts_loss_2,RE1-SS,RE1,ss,Sock Shop,carts,loss,network packet loss,2,1693102477,59,721,1693102117,1693102837,12.0,360,361,False,0,False,0,False
re1ss_carts_loss_3,RE1-SS,RE1,ss,Sock Shop,carts,loss,network packet loss,3,1693103250,59,721,1693102890,1693103610,12.0,360,361,False,0,False,0,False
re1ss_carts_loss_4,RE1-SS,RE1,ss,Sock Shop,carts,loss,network packet loss,4,1693104378,60,721,1693104018,1693104738,12.0,360,361,False,0,False,0,False
re1ss_carts_loss_5,RE1-SS,RE1,ss,Sock Shop,carts,loss,network packet loss,5,1693105150,60,721,1693104790,1693105510,12.0,360,361,False,0,False,0,False
re1ss_carts_mem_1,RE1-SS,RE1,ss,Sock Shop,carts,mem,memory stress,1,1693070581,59,721,1693070221,1693070941,12.0,360,361,False,0,False,0,False
re1ss_carts_mem_2,RE1-SS,RE1,ss,Sock Shop,carts,mem,memory stress,2,1693098681,58,721,1693098321,1693099041,12.0,360,361,False,0,False,0,False
re1ss_carts_mem_3,RE1-SS,RE1,ss,Sock Shop,carts,mem,memory stress,3,1693099451,58,721,1693099091,1693099811,12.0,360,361,False,0,False,0,False
re1ss_carts_mem_4,RE1-SS,RE1,ss,Sock Shop,carts,mem,memory stress,4,1693100577,59,721,1693100217,1693100937,12.0,360,361,False,0,False,0,False
re1ss_carts_mem_5,RE1-SS,RE1,ss,Sock Shop,carts,mem,memory stress,5,1693101348,59,721,1693100988,1693101708,12.0,360,361,False,0,False,0,False
re1ss_catalogue_cpu_1,RE1-SS,RE1,ss,Sock Shop,catalogue,cpu,CPU stress,1,1693072509,58,721,1693072149,1693072869,12.0,360,361,False,0,False,0,False
